ubigeo,region,ti_pred_mean,ti_pred_sd,ti_pred_lower,ti_pred_upper,n,categoria_regional,categoria_detallada,limite_bajo_inf,limite_medio_inf,limite_medio_sup,limite_alto_sup
0702,7,0.1774724073225419,0.1133281551983804,0.172670795981136,0.1822740186639478,2140,Alto,R7 - Alto,0.1042661502288182,0.1286682359267261,0.15307032162463402,0.1774724073225419
0704,7,0.1691579956181463,0.1142146219342797,0.1647395975172573,0.1735763937190352,2567,Alto,R7 - Alto,0.1042661502288182,0.1286682359267261,0.15307032162463402,0.1774724073225419
0705,7,0.1670524730634071,0.1103490070856012,0.1621832355583709,0.1719217105684434,1973,Alto,R7 - Alto,0.1042661502288182,0.1286682359267261,0.15307032162463402,0.1774724073225419
0706,7,0.1667815750038678,0.1050439087062063,0.1598995629766714,0.1736635870310643,895,Alto,R7 - Alto,0.1042661502288182,0.1286682359267261,0.15307032162463402,0.1774724073225419
0703,7,0.1656207927608469,0.1064057777510942,0.1615235888808528,0.169717996640841,2591,Alto,R7 - Alto,0.1042661502288182,0.1286682359267261,0.15307032162463402,0.1774724073225419
2203,7,0.1574457401943554,0.1021818721637694,0.1543696559973281,0.1605218243913828,4239,Alto,R7 - Alto,0.1042661502288182,0.1286682359267261,0.15307032162463402,0.1774724073225419
2206,7,0.1457191074624791,0.0957015853945524,0.1423029998316643,0.1491352150932939,3015,Medio,R7 - Medio,0.1042661502288182,0.1286682359267261,0.15307032162463402,0.1774724073225419
0701,7,0.1453968471356605,0.1062839626593416,0.1431402551335408,0.1476534391377802,8522,Medio,R7 - Medio,0.1042661502288182,0.1286682359267261,0.15307032162463402,0.1774724073225419
0209,7,0.1435334427657232,0.1014723176503084,0.1376583958046092,0.1494084897268371,1146,Medio,R7 - Medio,0.1042661502288182,0.1286682359267261,0.15307032162463402,0.1774724073225419
2503,1,0.1415325791177419,0.0915270027101325,0.1377895361354795,0.1452756221000044,2297,Alto,R1 - Alto,0.0831881064330591,0.10263626399462003,0.12208442155618096,0.1415325791177419
