ubigeo,ti_pred_mean,ti_pred_sd,n,region,ti_pred_lower,ti_pred_upper,categoria,ninos_en_ti
0702,0.1774724073225419,0.1133281551983804,2140,7,0.172670795981136,0.1822740186639478,Muy alta,380
0704,0.1691579956181463,0.1142146219342797,2567,7,0.1647395975172573,0.1735763937190352,Muy alta,434
0705,0.1670524730634071,0.1103490070856012,1973,7,0.1621832355583709,0.1719217105684434,Muy alta,330
0706,0.1667815750038678,0.1050439087062063,895,7,0.1598995629766714,0.1736635870310643,Muy alta,149
0703,0.1656207927608469,0.1064057777510942,2591,7,0.1615235888808528,0.169717996640841,Muy alta,429
2203,0.1574457401943554,0.1021818721637694,4239,7,0.1543696559973281,0.1605218243913828,Muy alta,667
2206,0.1457191074624791,0.0957015853945524,3015,7,0.1423029998316643,0.1491352150932939,Alta,439
0701,0.1453968471356605,0.1062839626593416,8522,7,0.1431402551335408,0.1476534391377802,Alta,1239
0209,0.1435334427657232,0.1014723176503084,1146,7,0.1376583958046092,0.1494084897268371,Alta,164
2503,0.1415325791177419,0.0915270027101325,2297,1,0.1377895361354795,0.1452756221000044,Alta,325
0204,0.1398021760489098,0.1050544422071929,4781,7,0.1368242691169144,0.1427800829809051,Alta,668
2202,0.1380444144038509,0.0959873938731093,2365,7,0.1341758066383358,0.141913022169366,Alta,326
1802,0.1365203695076422,0.0895269678610626,3014,1,0.133324137301745,0.1397166017135394,Alta,411
0410,0.1357381945251874,0.0984035317612338,1875,6,0.1312840313699452,0.1401923576804296,Alta,255
2510,0.1343387570661153,0.0796875062333054,2183,1,0.1309958874368821,0.1376816266953485,Alta,293
3205,0.1329578151483871,0.0872919578824846,13979,10,0.1315107361074939,0.1344048941892804,Alta,1859
0203,0.1320679342387473,0.0891012469026888,4694,7,0.1295189431896972,0.1346169252877974,Alta,620
1805,0.1308580180254991,0.0828252768065709,2619,1,0.1276858862659338,0.1340301497850644,Alta,343
2204,0.1306349835800184,0.0871660750880779,2761,7,0.1273835838969624,0.1338863832630744,Alta,361
0205,0.1293940096021626,0.0857009039624416,3581,7,0.1265870296317258,0.1322009895725995,Alta,463
1806,0.1291890406294357,0.0851367658552122,3369,1,0.1263141408192215,0.13206394043965,Media,435
0801,0.1289459004251518,0.0906837903098041,16364,8,0.1275564565778476,0.130335344272456,Media,2110
0202,0.1287155319896138,0.0800651285710921,3432,7,0.1260368211372769,0.1313942428419506,Media,442
0404,0.1280989339943978,0.1024778549807132,4364,6,0.1250584429624738,0.1311394250263219,Media,559
0208,0.1274202405487797,0.0843225307132556,4540,7,0.1249673861054962,0.1298730949920632,Media,578
2505,0.1271001844871086,0.0837402957976253,6566,1,0.125074647757433,0.1291257212167841,Media,835
0207,0.1263148105594786,0.0863146600197973,3013,7,0.1232327506965669,0.1293968704223903,Media,381
1202,0.1258535382045925,0.0831464471392032,4308,8,0.1233706228139274,0.1283364535952576,Media,542
0302,0.1243256585097154,0.088568553956046,3723,6,0.1214806137237998,0.127170703295631,Media,463
2205,0.1241189796497752,0.0911516145229411,11126,7,0.1224252234064993,0.1258127358930511,Media,1381
2108,0.123291441786015,0.07958680876408,3329,5,0.1205878553140276,0.1259950282580025,Media,410
1808,0.122496036753867,0.08059712893666,4028,1,0.1200070022792791,0.1249850712284548,Media,493
1804,0.1206894303773231,0.0786227323639711,4349,1,0.1183526951798631,0.1230261655747831,Media,525
0905,0.1198152149888842,0.077957032218643,3813,1,0.1173407690714165,0.1222896609063519,Media,457
0902,0.1197541203576672,0.0790982867706463,1399,1,0.1156092181253319,0.1238990225900025,Media,168
1602,0.1195477089265149,0.0843842427002542,2402,6,0.1161730419081569,0.1229223759448728,Media,287
1807,0.1190869987419444,0.0748170579480149,12219,1,0.1177604021866031,0.1204135952972858,Media,1455
0504,0.1190565929998681,0.0901175365245842,2216,4,0.1153044402984143,0.1228087457013219,Media,264
0903,0.1175511571518425,0.0808393318076317,8702,1,0.1158526426977681,0.1192496716059169,Media,1023
0403,0.1175135127173511,0.0897897969101336,2957,6,0.1142771484435692,0.120749876991133,Media,347
1102,0.1174686765564359,0.0817228016178881,6541,8,0.1154881656266601,0.1194491874862116,Media,768
1803,0.1170602130707114,0.0803308075837355,1206,1,0.1125263901835394,0.1215940359578834,Media,141
0210,0.1170513694073878,0.0778016949929111,1671,7,0.1133209565004759,0.1207817823142996,Media,196
1004,0.1161043542012401,0.0911692290647671,1928,6,0.1120347625004766,0.1201739459020035,Media,224
1005,0.1132488993443131,0.072593261698373,2065,6,0.1101178323976454,0.1163799662909807,Media,234
0904,0.1130146829811495,0.0733952587820874,1595,1,0.1094126827716432,0.1166166831906558,Media,180
1809,0.1124802303907107,0.079026934523623,4395,1,0.1101438058053572,0.1148166549760643,Media,494
0802,0.1124742105016996,0.0772619846283535,6042,8,0.1105260193319364,0.1144224016714627,Media,680
2509,0.1105706543426509,0.0704641199366483,2414,1,0.1077596891322535,0.1133816195530483,Media,267
0602,0.1104089247226746,0.0742312014954713,2924,3,0.1077182953603899,0.1130995540849594,Media,323
0301,0.1103692499591073,0.0833421615416457,10325,6,0.108761658089013,0.1119768418292016,Media,1140
2507,0.1095172743446382,0.0747365215572599,8646,1,0.1079419088223017,0.1110926398669748,Media,947
3204,0.1088042701708281,0.0721275210520014,40778,10,0.1081041958999071,0.109504344441749,Media,4437
1601,0.1085338541178244,0.0856169655668215,6906,6,0.1065145458852258,0.1105531623504231,Media,750
2201,0.1081211768128502,0.0824658571406193,32146,7,0.1072196746385597,0.1090226789871406,Media,3476
0901,0.1074652159493915,0.074168431462017,29778,1,0.1066227984048425,0.1083076334939405,Media,3200
2508,0.1074363142268064,0.0683713065736293,8367,1,0.1059712891242499,0.108901339329363,Media,899
0408,0.1067128787907279,0.0743399299863375,2267,6,0.1036526601303414,0.1097730974511144,Media,242
0305,0.1061180532992276,0.0855489790820144,2574,6,0.1028130900752611,0.1094230165231941,Media,273
0303,0.1046199278374611,0.073493191247202,7573,6,0.1029646564850983,0.106275199189824,Baja,792
1003,0.1046141716356209,0.0747863432634021,2338,6,0.1015826817992667,0.107645661471975,Baja,245
0206,0.1043192169377607,0.0686773990656586,4989,7,0.1024134790918204,0.1062249547837011,Baja,520
0201,0.1042661502288182,0.0720661481588677,24631,7,0.103366142250297,0.1051661582073393,Baja,2568
2506,0.1036445728621255,0.071517420764193,11255,1,0.1023232919373204,0.1049658537869305,Baja,1167
3103,0.1030678034694759,0.0697230964992993,2508,5,0.1003390206519468,0.105796586287005,Baja,258
0407,0.1024627860916929,0.0793120749357746,2520,6,0.0993661147647485,0.1055594574186374,Baja,258
0605,0.1016298984283495,0.0707468914918127,7689,3,0.100048546606361,0.103211250250338,Baja,781
0503,0.1008911818285364,0.0727508954239757,1413,4,0.0970978281777545,0.1046845354793182,Baja,143
2303,0.1003193027250761,0.0713041877478427,2697,9,0.0976281977745285,0.1030104076756237,Baja,271
1101,0.0984948067638446,0.0679601186023501,89710,8,0.0980500835790671,0.0989395299486221,Baja,8836
2106,0.098415244286406,0.067408106553652,12518,5,0.0972343779937264,0.0995961105790856,Baja,1232
3207,0.0979766840936483,0.0724427649293368,22765,10,0.0970356242068927,0.098917743980404,Baja,2230
2905,0.0957745483987361,0.0688303185847351,4159,9,0.0936826461302128,0.0978664506672594,Baja,398
2104,0.0955522104852915,0.0740238066096642,7303,5,0.0938544483805824,0.0972499725900007,Baja,698
1903,0.0946859941637867,0.066460831662354,4736,3,0.0927931450501104,0.096578843277463,Baja,448
0304,0.0944865033910498,0.0769513957637378,3036,6,0.0917492078540162,0.0972237989280835,Baja,287
1403,0.0937162658889389,0.0669922757931555,6398,3,0.0920746986170786,0.0953578331607992,Baja,600
2001,0.0934900923918853,0.0688439246694183,13820,3,0.0923422885592885,0.0946378962244822,Baja,1292
0502,0.0931136030443235,0.0740243167160575,4023,4,0.0908261327528157,0.0954010733358312,Baja,375
1203,0.0923672013118028,0.0587669855735921,29148,8,0.0916925410892011,0.0930418615344045,Baja,2692
3203,0.092268096540957,0.0642167647606749,153939,10,0.091947299640939,0.092588893440975,Baja,14204
0603,0.0922256468987255,0.0713232206644277,3055,3,0.0896964571668655,0.0947548366305855,Baja,282
3202,0.0921809156753246,0.0656829945953578,89240,10,0.0917499633431547,0.0926118680074944,Baja,8226
1001,0.0920646125714178,0.0630437837889663,5419,6,0.0903860452390492,0.0937431799037864,Baja,499
2502,0.0916493219228035,0.0646549758157187,10022,1,0.0903834760622666,0.0929151677833405,Baja,919
1902,0.0914972527822822,0.0639538939738211,5361,3,0.0897852669735184,0.093209238591046,Baja,491
1703,0.0912056525819304,0.0609561996009559,4233,5,0.0893693264284801,0.0930419787353806,Baja,386
2504,0.0910950869770679,0.062734382747022,5604,1,0.0894525595230295,0.0927376144311064,Baja,510
3206,0.0909448723236929,0.0615256610781564,82109,10,0.0905240323559072,0.0913657122914785,Baja,7467
1801,0.0908718244475495,0.0655037974736263,32526,1,0.0901599437443855,0.0915837051507134,Baja,2956
1002,0.0907278308689849,0.0697178557132635,3234,6,0.0883249619228492,0.0931306998151207,Baja,293
0405,0.0903499133952263,0.0630546369916022,6362,6,0.0888004680246417,0.0918993587658109,Baja,575
1006,0.0902046353511792,0.067385037737863,1163,6,0.0863317941498121,0.0940774765525464,Baja,105
0607,0.0899326933471799,0.0654944148914263,1074,3,0.0860156516262201,0.0938497350681398,Baja,97
1502,0.0895856322608599,0.0584832544849199,3636,4,0.0876846604957709,0.0914866040259489,Baja,326
0606,0.0891321723112278,0.0622763064881284,2928,3,0.0868764097600348,0.0913879348624208,Baja,261
1503,0.0885367665637784,0.0601422073993639,7707,4,0.0871940240001991,0.0898795091273578,Baja,682
2602,0.0881820525576483,0.0660517085675231,2517,4,0.0856015843092364,0.0907625208060602,Baja,222
1402,0.0880923834027299,0.0618585009278889,5688,3,0.0864847920233517,0.0896999747821081,Baja,501
0604,0.087160145066028,0.0677475114561848,3999,3,0.0850603654454719,0.0892599246865841,Baja,349
0505,0.0868500754524235,0.0616916072185216,1343,4,0.0835506057114491,0.0901495451933979,Baja,117
2102,0.0866494763305505,0.05855020661526,4359,5,0.0849113110576872,0.0883876416034138,Baja,378
1505,0.0865759513951015,0.0578507553009086,2269,4,0.0841955628214371,0.0889563399687659,Baja,196
3201,0.0865587819286688,0.0594867812910034,215304,10,0.0863075062278484,0.0868100576294891,Baja,18636
2904,0.0864243207406435,0.0645563316615893,16182,9,0.0854296512042349,0.0874189902770521,Baja,1399
0406,0.0849801681759533,0.0560373018806064,997,6,0.0815017186281812,0.0884586177237254,Baja,85
2601,0.0846475117059576,0.0682255346847216,7277,4,0.0830799421086874,0.0862150813032279,Baja,616
2901,0.0843345908446801,0.0621720244461416,12355,9,0.0832382901088926,0.0854308915804677,Baja,1042
1901,0.0842176758382498,0.0639912824580691,7513,3,0.082770670307953,0.0856646813685465,Baja,633
2002,0.0838386928961333,0.0633200003945658,5549,3,0.0821726368083347,0.0855047489839319,Baja,465
2302,0.0837487351928472,0.0629940590450511,6107,9,0.0821687911544059,0.0853286792312885,Baja,511
0402,0.0833756080688252,0.0592921173579856,4179,6,0.0815779096131921,0.0851733065244583,Baja,348
2501,0.0831881064330591,0.0580209618149471,149047,1,0.0828935426317729,0.0834826702343454,Baja,12399
2306,0.083042127123811,0.0557491101815455,4556,9,0.0814232937336396,0.0846609605139823,Baja,378
0409,0.082518424153107,0.0582269330753386,1162,6,0.0791704898830084,0.0858663584232056,Baja,96
2003,0.081805805907495,0.0576660344290551,5810,3,0.0803229870785785,0.0832886247364115,Baja,475
2107,0.0817247557377795,0.0581556918760835,9187,5,0.0805355378309218,0.0829139736446371,Baja,751
2105,0.0801567628485524,0.058479201369743,24089,5,0.0794182668975449,0.0808952587995598,Muy baja,1931
1401,0.0796568674130772,0.0629738145023699,16754,3,0.0787032881100491,0.0806104467161054,Muy baja,1335
2603,0.0791915126557977,0.0596957152032968,2578,4,0.076887113143638,0.0814959121679574,Muy baja,204
1404,0.0787819743771592,0.0578666442092733,3424,3,0.0768436900195046,0.0807202587348137,Muy baja,270
3102,0.078724184496166,0.0631891888389155,2089,5,0.0760144319582266,0.0814339370341053,Muy baja,164
2402,0.0766875336300912,0.0602072060367467,3671,2,0.0747398771821269,0.0786351900780555,Muy baja,282
2903,0.0764754059549661,0.0619370414589721,8817,9,0.0751825620045897,0.0777682499053425,Muy baja,674
2103,0.0764713484215761,0.054254865002639,38663,5,0.0759305355943539,0.0770121612487983,Muy baja,2957
0401,0.0759405687488951,0.052429930253303,22683,6,0.0752582534566127,0.0766228840411776,Muy baja,1723
0101,0.0757412163135441,0.049958842699064,198088,10,0.0755212078656859,0.0759612247614024,Muy baja,15003
2902,0.0751443694297678,0.0600852444549677,7604,9,0.073793843740274,0.0764948951192616,Muy baja,571
1201,0.0745753151403444,0.0494669439680081,32084,8,0.0740340290109522,0.0751166012697367,Muy baja,2393
3101,0.0745574350903588,0.0589517598399689,8221,5,0.0732830798137681,0.0758317903669495,Muy baja,613
1702,0.0744903030936333,0.0515543015788662,7268,5,0.0733050433894127,0.0756755627978538,Muy baja,541
1304,0.0742927915892954,0.0520246156756406,6436,2,0.0730217582734959,0.075563824905095,Muy baja,478
1506,0.0733336674746227,0.053981642895501,3310,4,0.0714946401913391,0.0751726947579063,Muy baja,243
2101,0.0733180140712074,0.0559664880651213,64513,5,0.0728861366417013,0.0737498915007135,Muy baja,4730
1501,0.0732515537242001,0.0547281678281765,5266,4,0.0717733763406545,0.0747297311077456,Muy baja,386
2403,0.0730706184083581,0.0551091197499305,4655,2,0.071487477020113,0.0746537597966033,Muy baja,340
1303,0.072991320757183,0.0541114290240808,12693,2,0.0720499451631503,0.0739326963512157,Muy baja,926
1701,0.0726554224402146,0.0527919581979697,35453,5,0.0721058849227393,0.07320495995769,Muy baja,2576
2404,0.0726439754988988,0.0541835615019783,8478,2,0.0714905835562827,0.0737973674415149,Muy baja,616
0411,0.0725101857325813,0.050513142138826,1234,6,0.0696917841380363,0.0753285873271263,Muy baja,89
